"Payment has been authorized, you can proceed with invoice and capture.","Opret faktura og hæv med Anyday betaling."
"Amount %s has been successfully authorized.","Beløb %s er blevet godkendt."
"Please authorize payment before invoice.","Venligst godkend betaling inden faktura."
